iter	Passed	Remaining
900	1697	186
901	1698	184
902	1699	182
903	1703	180
904	1705	179
905	1707	177
906	1708	175
907	1709	173
908	1712	171
909	1714	169
910	1719	167
911	1720	166
912	1722	164
913	1723	162
914	1724	160
915	1725	158
916	1726	156
917	1727	154
918	1729	152
919	1733	150
920	1735	148
921	1736	146
922	1737	144
923	1739	143
924	1740	141
925	1741	139
926	1742	137
927	1743	135
928	1744	133
929	1749	131
930	1751	129
931	1752	127
932	1753	125
933	1754	123
934	1755	122
935	1756	120
936	1758	118
937	1759	116
938	1767	114
939	1768	112
940	1770	110
941	1771	109
942	1773	107
943	1775	105
944	1779	103
945	1781	101
946	1782	99
947	1784	97
948	1785	95
949	1786	94
950	1787	92
951	1788	90
952	1789	88
953	1793	86
954	1796	84
955	1797	82
956	1798	80
957	1799	78
958	1800	76
959	1802	75
960	1803	73
961	1804	71
962	1805	69
963	1807	67
964	1809	65
965	1810	63
966	1811	61
967	1812	59
968	1813	58
969	1815	56
970	1816	54
971	1817	52
972	1822	50
973	1824	48
974	1825	46
975	1826	44
976	1827	43
977	1829	41
978	1830	39
979	1831	37
980	1832	35
981	1836	33
982	1838	31
983	1840	29
984	1841	28
985	1842	26
986	1843	24
987	1844	22
988	1845	20
989	1846	18
990	1847	16
991	1853	14
992	1854	13
993	1855	11
994	1857	9
995	1858	7
996	1859	5
997	1860	3
998	1861	1
999	1862	0
